Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT2G14440	-2.56061551461084	-3.84620799681479	-4.84333229334786	0.000815216133385951	0.00581028538183969	-0.274728128976326	0.00117709425759882	0.0412091000815381
AT2G14560	-7.94242294372829	-0.626645396391888	-9.81579916097784	3.07589806592996e-06	0.000151778672162033	4.41149928002992	0.001195857052398	0.0412091000815381
AT2G14610	-6.9654632430971	-1.6184936390783	-7.21859012597499	4.02240566137343e-05	0.000778566144741221	2.37475650298086	0.00114595524896188	0.0412091000815381
AT2G15042	-2.0835303567869	2.40647661011855	-10.0872404453302	2.4303096590795e-06	0.000130097667366239	5.3821198298904	0.00257963246299564	0.0481753000043669
AT2G16586	2.19056933188579	-0.264146701026632	6.61465145837387	8.06976721129324e-05	0.00118795939758249	1.97718975925306	0.000624049401861448	0.0379367349731012
AT2G17040	-2.86060930356482	0.221941314002102	-8.84484938034987	7.48738784570344e-06	0.000257606404551839	4.17973676912602	0.00174485733036045	0.0449472026212343
AT2G17860	2.06106706406129	-3.84620799681479	3.8747698715849	0.0034805486784859	0.0162917468437589	-1.51792206155857	0.00219943837170877	0.0470605667562059
AT2G18050	2.38472708926638	8.14830904766013	17.0328594102452	2.2749041186246e-08	8.42095240965991e-06	10.0153058780397	0.000642140011690273	0.0379367349731012
AT2G21910	-3.51136090243829	-3.37395844067148	-7.04270420473629	4.90500656221004e-05	0.000875827923756346	2.00859263523827	0.000260471378141558	0.0344675491483895
AT2G22500	-2.51902632682293	2.62510558018788	-14.256798573472	1.13969639469493e-07	1.94836613333073e-05	8.3797329088446	0.000435974336727707	0.0370044186859767
AT2G22880	-2.27355110157978	0.800654980997173	-8.67350369364636	8.83221529630048e-06	0.000285758291723285	4.10993292258663	0.000808545908405067	0.0397964638909443
AT2G23000	-2.31301034722587	3.04035323360065	-14.9161411130196	7.5818265888493e-08	1.60722592761063e-05	8.80905107217205	0.000171056271744296	0.0344675491483895
AT2G23010	-3.26220072645193	0.918097662382259	-10.2966195227997	2.03387078865766e-06	0.000115157068713356	5.43347315012077	0.000563700827833191	0.0379367349731012
AT2G24210	-4.92498943592103	-2.66138423537132	-8.76866188013535	8.0554465760983e-06	0.000267820857432186	3.43855032471224	0.000937844088590989	0.0402827935021262
AT2G25510	-5.05035640577346	4.33553617882254	-22.2659172413076	1.95074487266208e-09	2.53221700209919e-06	12.1666959163109	0.000254087526910585	0.0344675491483895
AT2G26440	-3.06317499949615	1.53452340697295	-9.71202321149881	3.37066791731469e-06	0.000159778101025053	5.05707188455367	0.0020241735077231	0.0466712490619673
